name,price,price_change,price_percent_change,volume
HUTCHMED (China) Ltd. ADR (HCM),15.55,1.66,11.95,83200.0
Riot Platforms Inc. (RIOT),7.02,0.73,11.69,16300000.0
Semler Scientific Inc. (SMLR),33.28,3.44,11.55,156900.0
First Solar Inc. (FSLR),136.46,14.01,11.44,4600000.0
Capricor Therapeutics Inc. (CAPR),13.28,1.36,11.41,870000.0
Coya Therapeutics Inc. (COYA),6.36,0.65,11.38,73000.0
Creative Media & Community Trust Corp. (CMCT),4.62,0.46,11.06,881300.0
Root Inc. Cl A (ROOT),131.4,13.01,10.99,212400.0
Calix Inc. (CALX),36.87,3.62,10.89,1100000.0
RedHill Biopharma Ltd. ADR (RDHL),2.4,0.23,10.83,102900.0
Nukkleus Inc. (NUKK),14.18,1.37,10.69,117700.0
REGENXBIO Inc. (RGNX),7.36,0.69,10.42,458800.0
Full House Resorts Inc. (FLL),3.22,0.3,10.27,94500.0
QuantaSing Group Ltd. ADR (QSG),4.27,0.39,10.14,183300.0
FTC Solar Inc. (FTCI),2.83,0.26,10.12,56000.0
Mingteng International Corp. Inc. (MTEN),6.71,0.61,10.0,79200.0
PagSeguro Digital Ltd. Cl A (PAGS),9.32,0.84,9.98,2600000.0
MARA Holdings Inc. (MARA),13.52,1.23,9.97,32600000.0
Carvana Co. Cl A (CVNA),215.11,19.28,9.85,2000000.0
Piedmont Lithium Inc. (PLL),7.43,0.66,9.75,153800.0
ThredUp Inc. Cl A (TDUP),3.66,0.33,9.73,733600.0
Frequency Electronics Inc. (FEIM),18.18,1.61,9.72,55100.0
IREN Ltd. (IREN),6.04,0.54,9.71,10700000.0
MBX Biosciences Inc. (MBX),8.38,0.74,9.69,119200.0
Hut 8 Corp. (HUT),11.67,1.03,9.68,3800000.0
SunOpta Inc. (STKL),4.06,0.35,9.43,286400.0
Solid Biosciences Inc. (SLDB),3.32,0.28,9.41,1100000.0
Newsmax Inc. Cl B (NMAX),23.76,2.04,9.36,1700000.0
Ameresco Inc. Cl A (AMRC),9.47,0.81,9.35,253800.0
Verastem Inc. (VSTM),6.79,0.58,9.34,414800.0
Metsera Inc. (MTSR),21.3,1.79,9.2,399900.0
INVESCO Ltd. (IVZ),13.6,1.14,9.15,3800000.0
SolarEdge Technologies Inc. (SEDG),13.2,1.1,9.09,2300000.0
CoreWeave Inc. Cl A (CRWV),38.61,3.19,9.02,4400000.0
Zhengye Biotechnology Holding Ltd. (ZYBT),8.39,0.69,8.96,557700.0
Bausch Health Cos. Inc. (BHC),5.14,0.42,8.9,1700000.0
Evotec SE ADR (EVO),3.9,0.32,8.8,155900.0
Sportradar Group AG Cl A (SRAD),25.01,2.0,8.68,1300000.0
Inno Holdings Inc. (INHD),9.3,0.74,8.64,81500.0
FTAI Infrastructure Inc. (FIP),3.78,0.3,8.62,401800.0
Ares Commercial Real Estate Corp. (ACRE),3.86,0.3,8.57,269800.0
NuScale Power Corp. (SMR),14.74,1.1,8.1,2100000.0
Bicycle Therapeutics Ltd. ADR (BCYC),8.11,0.6,7.99,194000.0
INmune Bio Inc. (INMB),7.86,0.58,7.97,162400.0
StoneCo Ltd. Cl A (STNE),13.02,0.96,7.96,2700000.0
Verve Therapeutics Inc. (VERV),5.16,0.38,7.95,1600000.0
GRAIL Inc. (GRAL),28.5,2.08,7.87,457200.0
Galecto Inc. (GLTO),2.61,0.19,7.87,67500.0
BeiGene Ltd. ADR (ONC),247.23,18.01,7.86,283600.0
Lightbridge Corp. (LTBR),7.66,0.56,7.82,416200.0
Summit Therapeutics Inc. (SMMT),27.18,1.97,7.79,1700000.0
Xometry Inc. Cl A (XMTR),23.9,1.73,7.78,223100.0
Zai Lab Ltd. ADR (ZLAB),32.01,2.3,7.74,431400.0
Quest Diagnostics Inc. (DGX),174.31,12.45,7.69,603000.0
Pentair PLC (PNR),85.02,6.05,7.67,838300.0
Denali Therapeutics Inc. (DNLI),14.16,1.01,7.64,357300.0
Atkore Inc. (ATKR),61.05,4.32,7.61,226500.0
Dingdong (Cayman) Ltd. ADR (DDL),2.48,0.17,7.58,640100.0
Phunware Inc. (PHUN),2.71,0.19,7.54,106200.0
Twin Vee PowerCats Co. (VEEE),2.3,0.16,7.48,70600.0
PulteGroup Inc. (PHM),100.07,6.96,7.48,802100.0
Lifevantage Corp. (LFVN),13.3,0.92,7.43,53300.0
MicroStrategy Inc. (MSTR),341.31,23.55,7.41,12800000.0
Kodiak Sciences Inc. (KOD),3.49,0.24,7.38,258600.00000000003
KORU Medical Systems Inc. (KRMD),2.4,0.17,7.37,58400.0
RH (RH),167.18,11.38,7.31,816200.0
Porch Group Inc. (PRCH),5.0,0.34,7.3,757000.0
Coinbase Global Inc. (COIN),187.67,12.67,7.24,5400000.0
SpringWorks Therapeutics Inc. (SWTX),39.74,2.68,7.23,1500000.0
